cache hit: cache/train_16x224.u8
cache hit: cache/val_16x224.u8
X3D-M | 0 blocks frozen | 16 frames at 224px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.2913  acc 0.1516  val loss 5.1115  val acc 0.3463
epoch 2/100  loss 4.9944  acc 0.4627  val loss 4.9199  val acc 0.5299
epoch 3/100  loss 4.8287  acc 0.6244  val loss 4.8159  val acc 0.6342
epoch 4/100  loss 4.7263  acc 0.7249  val loss 4.7562  val acc 0.6861
epoch 5/100  loss 4.6676  acc 0.7791  val loss 4.7282  val acc 0.7130
epoch 6/100  loss 4.6218  acc 0.8226  val loss 4.7000  val acc 0.7420
epoch 7/100  loss 4.5916  acc 0.8505  val loss 4.6752  val acc 0.7660
epoch 8/100  loss 4.5700  acc 0.8704  val loss 4.6988  val acc 0.7408
epoch 9/100  loss 4.5539  acc 0.8842  val loss 4.6582  val acc 0.7809
epoch 10/100  loss 4.5380  acc 0.8993  val loss 4.6424  val acc 0.7945
epoch 11/100  loss 4.5269  acc 0.9104  val loss 4.6465  val acc 0.7924
epoch 12/100  loss 4.5165  acc 0.9195  val loss 4.6498  val acc 0.7868
epoch 13/100  loss 4.5098  acc 0.9250  val loss 4.6471  val acc 0.7868
epoch 14/100  loss 4.5039  acc 0.9297  val loss 4.6463  val acc 0.7890
epoch 15/100  loss 4.4983  acc 0.9352  val loss 4.6370  val acc 0.7997
epoch 16/100  loss 4.4963  acc 0.9368  val loss 4.6360  val acc 0.7961
epoch 17/100  loss 4.4899  acc 0.9434  val loss 4.6141  val acc 0.8232
epoch 18/100  loss 4.4865  acc 0.9460  val loss 4.6216  val acc 0.8112
epoch 19/100  loss 4.4837  acc 0.9487  val loss 4.6241  val acc 0.8115
epoch 20/100  loss 4.4798  acc 0.9523  val loss 4.6047  val acc 0.8293
epoch 21/100  loss 4.4792  acc 0.9528  val loss 4.6144  val acc 0.8182
epoch 22/100  loss 4.4751  acc 0.9566  val loss 4.6120  val acc 0.8228
epoch 23/100  loss 4.4743  acc 0.9575  val loss 4.6163  val acc 0.8162
epoch 24/100  loss 4.4732  acc 0.9583  val loss 4.6215  val acc 0.8099
epoch 25/100  loss 4.4729  acc 0.9582  val loss 4.6201  val acc 0.8135
epoch 26/100  loss 4.4704  acc 0.9611  val loss 4.6191  val acc 0.8117
epoch 27/100  loss 4.4704  acc 0.9604  val loss 4.6098  val acc 0.8228
epoch 28/100  loss 4.4703  acc 0.9599  val loss 4.6138  val acc 0.8180
epoch 29/100  loss 4.4686  acc 0.9621  val loss 4.6172  val acc 0.8151
epoch 30/100  loss 4.4672  acc 0.9633  val loss 4.6187  val acc 0.8135
epoch 31/100  loss 4.4658  acc 0.9645  val loss 4.5945  val acc 0.8382
epoch 32/100  loss 4.4663  acc 0.9639  val loss 4.6105  val acc 0.8201
epoch 33/100  loss 4.4644  acc 0.9660  val loss 4.6185  val acc 0.8130
epoch 34/100  loss 4.4653  acc 0.9651  val loss 4.6143  val acc 0.8180
epoch 35/100  loss 4.4650  acc 0.9653  val loss 4.6108  val acc 0.8196
epoch 36/100  loss 4.4654  acc 0.9648  val loss 4.6145  val acc 0.8155
epoch 37/100  loss 4.4624  acc 0.9675  val loss 4.6149  val acc 0.8164
epoch 38/100  loss 4.4652  acc 0.9647  val loss 4.6203  val acc 0.8076
epoch 39/100  loss 4.4619  acc 0.9678  val loss 4.6139  val acc 0.8180
epoch 40/100  loss 4.4633  acc 0.9667  val loss 4.6132  val acc 0.8185
epoch 41/100  loss 4.4608  acc 0.9688  val loss 4.6192  val acc 0.8115
