cache hit: cache/train_16x224.u8
cache hit: cache/val_16x224.u8
X3D-M | 3 blocks frozen | 16 frames at 224px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.2903  acc 0.1549  val loss 5.1113  val acc 0.3411
epoch 2/100  loss 4.9914  acc 0.4668  val loss 4.9193  val acc 0.5349
epoch 3/100  loss 4.8331  acc 0.6215  val loss 4.8468  val acc 0.6014
epoch 4/100  loss 4.7399  acc 0.7108  val loss 4.7660  val acc 0.6793
epoch 5/100  loss 4.6766  acc 0.7705  val loss 4.7405  val acc 0.7055
epoch 6/100  loss 4.6350  acc 0.8092  val loss 4.7180  val acc 0.7234
epoch 7/100  loss 4.6066  acc 0.8345  val loss 4.7050  val acc 0.7356
epoch 8/100  loss 4.5816  acc 0.8592  val loss 4.7143  val acc 0.7252
epoch 9/100  loss 4.5615  acc 0.8776  val loss 4.6816  val acc 0.7544
epoch 10/100  loss 4.5467  acc 0.8905  val loss 4.6780  val acc 0.7569
epoch 11/100  loss 4.5381  acc 0.8986  val loss 4.6667  val acc 0.7703
epoch 12/100  loss 4.5269  acc 0.9086  val loss 4.6752  val acc 0.7612
epoch 13/100  loss 4.5185  acc 0.9173  val loss 4.6598  val acc 0.7770
epoch 14/100  loss 4.5089  acc 0.9257  val loss 4.6664  val acc 0.7707
epoch 15/100  loss 4.5033  acc 0.9306  val loss 4.6408  val acc 0.7947
epoch 16/100  loss 4.4984  acc 0.9357  val loss 4.6543  val acc 0.7827
epoch 17/100  loss 4.4921  acc 0.9411  val loss 4.6485  val acc 0.7847
epoch 18/100  loss 4.4893  acc 0.9436  val loss 4.6553  val acc 0.7782
epoch 19/100  loss 4.4892  acc 0.9428  val loss 4.6584  val acc 0.7755
epoch 20/100  loss 4.4871  acc 0.9449  val loss 4.6525  val acc 0.7820
epoch 21/100  loss 4.4827  acc 0.9497  val loss 4.6389  val acc 0.7933
epoch 22/100  loss 4.4814  acc 0.9508  val loss 4.6527  val acc 0.7811
epoch 23/100  loss 4.4791  acc 0.9529  val loss 4.6457  val acc 0.7888
epoch 24/100  loss 4.4777  acc 0.9541  val loss 4.6574  val acc 0.7770
epoch 25/100  loss 4.4720  acc 0.9598  val loss 4.6321  val acc 0.7979
epoch 26/100  loss 4.4673  acc 0.9638  val loss 4.6566  val acc 0.7748
epoch 27/100  loss 4.4651  acc 0.9667  val loss 4.6251  val acc 0.8076
epoch 28/100  loss 4.4622  acc 0.9689  val loss 4.6357  val acc 0.7967
epoch 29/100  loss 4.4628  acc 0.9678  val loss 4.6259  val acc 0.8083
epoch 30/100  loss 4.4586  acc 0.9718  val loss 4.6316  val acc 0.8022
epoch 31/100  loss 4.4604  acc 0.9701  val loss 4.6319  val acc 0.8031
epoch 32/100  loss 4.4592  acc 0.9717  val loss 4.6273  val acc 0.8033
epoch 33/100  loss 4.4594  acc 0.9713  val loss 4.6275  val acc 0.8026
epoch 34/100  loss 4.4558  acc 0.9741  val loss 4.6360  val acc 0.7952
epoch 35/100  loss 4.4571  acc 0.9730  val loss 4.6214  val acc 0.8092
epoch 36/100  loss 4.4572  acc 0.9725  val loss 4.6259  val acc 0.8060
epoch 37/100  loss 4.4571  acc 0.9733  val loss 4.6279  val acc 0.8013
epoch 38/100  loss 4.4544  acc 0.9757  val loss 4.6510  val acc 0.7818
epoch 39/100  loss 4.4543  acc 0.9758  val loss 4.6271  val acc 0.8038
epoch 40/100  loss 4.4540  acc 0.9761  val loss 4.6295  val acc 0.8015
epoch 41/100  loss 4.4553  acc 0.9748  val loss 4.6362  val acc 0.7965
epoch 42/100  loss 4.4541  acc 0.9758  val loss 4.6281  val acc 0.8010
epoch 43/100  loss 4.4522  acc 0.9776  val loss 4.6257  val acc 0.8038
epoch 44/100  loss 4.4521  acc 0.9776  val loss 4.6316  val acc 0.7970
epoch 45/100  loss 4.4528  acc 0.9765  val loss 4.6127  val acc 0.8198
epoch 46/100  loss 4.4522  acc 0.9773  val loss 4.6151  val acc 0.8155
epoch 47/100  loss 4.4513  acc 0.9781  val loss 4.6204  val acc 0.8110
epoch 48/100  loss 4.4506  acc 0.9790  val loss 4.6143  val acc 0.8176
epoch 49/100  loss 4.4519  acc 0.9774  val loss 4.6296  val acc 0.8024
epoch 50/100  loss 4.4519  acc 0.9779  val loss 4.6227  val acc 0.8101
epoch 51/100  loss 4.4505  acc 0.9790  val loss 4.6115  val acc 0.8191
epoch 52/100  loss 4.4500  acc 0.9791  val loss 4.6261  val acc 0.8051
epoch 53/100  loss 4.4503  acc 0.9791  val loss 4.6168  val acc 0.8133
epoch 54/100  loss 4.4504  acc 0.9788  val loss 4.6160  val acc 0.8137
epoch 55/100  loss 4.4490  acc 0.9803  val loss 4.6216  val acc 0.8090
epoch 56/100  loss 4.4514  acc 0.9776  val loss 4.6165  val acc 0.8137
epoch 57/100  loss 4.4483  acc 0.9808  val loss 4.6320  val acc 0.7986
