cache hit: cache/train_16x224.u8
cache hit: cache/val_16x224.u8
X3D-M | 5 blocks frozen | 16 frames at 224px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.4018  acc 0.0301  val loss 5.3701  val acc 0.0745
epoch 2/100  loss 5.3480  acc 0.0962  val loss 5.3207  val acc 0.1304
epoch 3/100  loss 5.2963  acc 0.1581  val loss 5.2813  val acc 0.1747
epoch 4/100  loss 5.2494  acc 0.2103  val loss 5.2507  val acc 0.2017
epoch 5/100  loss 5.2121  acc 0.2487  val loss 5.2245  val acc 0.2257
epoch 6/100  loss 5.1769  acc 0.2857  val loss 5.2037  val acc 0.2481
epoch 7/100  loss 5.1484  acc 0.3154  val loss 5.1780  val acc 0.2789
epoch 8/100  loss 5.1263  acc 0.3350  val loss 5.1725  val acc 0.2759
epoch 9/100  loss 5.1071  acc 0.3544  val loss 5.1587  val acc 0.2915
epoch 10/100  loss 5.0904  acc 0.3685  val loss 5.1495  val acc 0.2972
epoch 11/100  loss 5.0740  acc 0.3845  val loss 5.1536  val acc 0.2909
epoch 12/100  loss 5.0626  acc 0.3932  val loss 5.1361  val acc 0.3060
epoch 13/100  loss 5.0507  acc 0.4078  val loss 5.1373  val acc 0.3099
epoch 14/100  loss 5.0373  acc 0.4185  val loss 5.1348  val acc 0.3090
epoch 15/100  loss 5.0231  acc 0.4328  val loss 5.1180  val acc 0.3262
epoch 16/100  loss 5.0145  acc 0.4425  val loss 5.1208  val acc 0.3221
epoch 17/100  loss 5.0074  acc 0.4469  val loss 5.1185  val acc 0.3232
epoch 18/100  loss 4.9955  acc 0.4586  val loss 5.1080  val acc 0.3336
epoch 19/100  loss 4.9898  acc 0.4631  val loss 5.1092  val acc 0.3325
epoch 20/100  loss 4.9810  acc 0.4720  val loss 5.1028  val acc 0.3386
epoch 21/100  loss 4.9734  acc 0.4793  val loss 5.0990  val acc 0.3456
epoch 22/100  loss 4.9674  acc 0.4850  val loss 5.1007  val acc 0.3402
epoch 23/100  loss 4.9599  acc 0.4934  val loss 5.0913  val acc 0.3531
epoch 24/100  loss 4.9543  acc 0.4971  val loss 5.1048  val acc 0.3323
epoch 25/100  loss 4.9463  acc 0.5060  val loss 5.0978  val acc 0.3431
epoch 26/100  loss 4.9439  acc 0.5069  val loss 5.1000  val acc 0.3413
epoch 27/100  loss 4.9369  acc 0.5137  val loss 5.0885  val acc 0.3520
epoch 28/100  loss 4.9302  acc 0.5203  val loss 5.0918  val acc 0.3479
epoch 29/100  loss 4.9242  acc 0.5266  val loss 5.0874  val acc 0.3513
epoch 30/100  loss 4.9178  acc 0.5323  val loss 5.0816  val acc 0.3597
epoch 31/100  loss 4.9137  acc 0.5359  val loss 5.0895  val acc 0.3497
epoch 32/100  loss 4.9094  acc 0.5404  val loss 5.0835  val acc 0.3560
epoch 33/100  loss 4.9065  acc 0.5418  val loss 5.0860  val acc 0.3536
epoch 34/100  loss 4.9015  acc 0.5487  val loss 5.0819  val acc 0.3583
epoch 35/100  loss 4.8960  acc 0.5543  val loss 5.0762  val acc 0.3615
epoch 36/100  loss 4.8892  acc 0.5598  val loss 5.0770  val acc 0.3590
epoch 37/100  loss 4.8819  acc 0.5675  val loss 5.0776  val acc 0.3617
epoch 38/100  loss 4.8774  acc 0.5717  val loss 5.0696  val acc 0.3687
epoch 39/100  loss 4.8735  acc 0.5766  val loss 5.0826  val acc 0.3529
epoch 40/100  loss 4.8710  acc 0.5771  val loss 5.0696  val acc 0.3687
epoch 41/100  loss 4.8677  acc 0.5799  val loss 5.0782  val acc 0.3599
epoch 42/100  loss 4.8613  acc 0.5861  val loss 5.0687  val acc 0.3746
epoch 43/100  loss 4.8577  acc 0.5913  val loss 5.0746  val acc 0.3626
epoch 44/100  loss 4.8541  acc 0.5933  val loss 5.0746  val acc 0.3624
epoch 45/100  loss 4.8496  acc 0.5976  val loss 5.0737  val acc 0.3660
epoch 46/100  loss 4.8467  acc 0.6010  val loss 5.0712  val acc 0.3667
epoch 47/100  loss 4.8441  acc 0.6029  val loss 5.0672  val acc 0.3699
epoch 48/100  loss 4.8400  acc 0.6077  val loss 5.0756  val acc 0.3626
epoch 49/100  loss 4.8351  acc 0.6123  val loss 5.0696  val acc 0.3671
epoch 50/100  loss 4.8342  acc 0.6133  val loss 5.0710  val acc 0.3651
epoch 51/100  loss 4.8295  acc 0.6172  val loss 5.0671  val acc 0.3703
epoch 52/100  loss 4.8285  acc 0.6187  val loss 5.0725  val acc 0.3633
epoch 53/100  loss 4.8223  acc 0.6248  val loss 5.0661  val acc 0.3732
epoch 54/100  loss 4.8228  acc 0.6232  val loss 5.0718  val acc 0.3703
epoch 55/100  loss 4.8206  acc 0.6244  val loss 5.0731  val acc 0.3671
