cache hit: cache/train_16x224.u8
cache hit: cache/val_16x224.u8
X3D-M | 2 blocks frozen | 16 frames at 224px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.2928  acc 0.1504  val loss 5.1156  val acc 0.3354
epoch 2/100  loss 4.9899  acc 0.4677  val loss 4.9164  val acc 0.5319
epoch 3/100  loss 4.8274  acc 0.6264  val loss 4.8168  val acc 0.6274
epoch 4/100  loss 4.7303  acc 0.7210  val loss 4.7678  val acc 0.6770
epoch 5/100  loss 4.6713  acc 0.7750  val loss 4.7340  val acc 0.7071
epoch 6/100  loss 4.6350  acc 0.8098  val loss 4.7108  val acc 0.7284
epoch 7/100  loss 4.5996  acc 0.8428  val loss 4.7174  val acc 0.7220
epoch 8/100  loss 4.5735  acc 0.8676  val loss 4.6655  val acc 0.7782
epoch 9/100  loss 4.5546  acc 0.8852  val loss 4.6631  val acc 0.7768
epoch 10/100  loss 4.5411  acc 0.8961  val loss 4.6677  val acc 0.7682
epoch 11/100  loss 4.5307  acc 0.9060  val loss 4.6519  val acc 0.7843
epoch 12/100  loss 4.5210  acc 0.9156  val loss 4.6524  val acc 0.7804
epoch 13/100  loss 4.5097  acc 0.9257  val loss 4.6507  val acc 0.7859
epoch 14/100  loss 4.5034  acc 0.9310  val loss 4.6372  val acc 0.7974
epoch 15/100  loss 4.4957  acc 0.9388  val loss 4.6244  val acc 0.8092
epoch 16/100  loss 4.4892  acc 0.9439  val loss 4.6218  val acc 0.8115
epoch 17/100  loss 4.4886  acc 0.9452  val loss 4.6261  val acc 0.8090
epoch 18/100  loss 4.4847  acc 0.9486  val loss 4.6388  val acc 0.7956
epoch 19/100  loss 4.4805  acc 0.9523  val loss 4.6318  val acc 0.8017
epoch 20/100  loss 4.4745  acc 0.9579  val loss 4.6156  val acc 0.8189
epoch 21/100  loss 4.4724  acc 0.9596  val loss 4.6214  val acc 0.8133
epoch 22/100  loss 4.4676  acc 0.9641  val loss 4.6220  val acc 0.8101
epoch 23/100  loss 4.4655  acc 0.9663  val loss 4.6132  val acc 0.8176
epoch 24/100  loss 4.4639  acc 0.9679  val loss 4.6221  val acc 0.8148
epoch 25/100  loss 4.4602  acc 0.9715  val loss 4.6144  val acc 0.8171
epoch 26/100  loss 4.4600  acc 0.9712  val loss 4.6199  val acc 0.8160
epoch 27/100  loss 4.4589  acc 0.9722  val loss 4.6243  val acc 0.8083
epoch 28/100  loss 4.4577  acc 0.9736  val loss 4.6229  val acc 0.8090
epoch 29/100  loss 4.4554  acc 0.9752  val loss 4.6092  val acc 0.8237
epoch 30/100  loss 4.4555  acc 0.9756  val loss 4.6031  val acc 0.8275
epoch 31/100  loss 4.4549  acc 0.9756  val loss 4.6070  val acc 0.8257
epoch 32/100  loss 4.4531  acc 0.9774  val loss 4.6172  val acc 0.8158
epoch 33/100  loss 4.4523  acc 0.9784  val loss 4.6008  val acc 0.8316
epoch 34/100  loss 4.4516  acc 0.9788  val loss 4.6103  val acc 0.8205
epoch 35/100  loss 4.4511  acc 0.9789  val loss 4.6102  val acc 0.8230
epoch 36/100  loss 4.4521  acc 0.9776  val loss 4.6047  val acc 0.8257
epoch 37/100  loss 4.4515  acc 0.9786  val loss 4.6208  val acc 0.8096
epoch 38/100  loss 4.4493  acc 0.9811  val loss 4.6125  val acc 0.8205
epoch 39/100  loss 4.4485  acc 0.9814  val loss 4.5975  val acc 0.8361
epoch 40/100  loss 4.4500  acc 0.9798  val loss 4.6208  val acc 0.8124
epoch 41/100  loss 4.4487  acc 0.9809  val loss 4.6021  val acc 0.8302
epoch 42/100  loss 4.4498  acc 0.9802  val loss 4.6007  val acc 0.8314
epoch 43/100  loss 4.4489  acc 0.9810  val loss 4.6071  val acc 0.8223
