cache hit: cache/train_4x160.u8
cache hit: cache/val_4x160.u8
X3D-XS | 5 blocks frozen | 4 frames at 160px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.4112  acc 0.0179  val loss 5.3917  val acc 0.0394
epoch 2/100  loss 5.3819  acc 0.0528  val loss 5.3685  val acc 0.0656
epoch 3/100  loss 5.3599  acc 0.0785  val loss 5.3508  val acc 0.0883
epoch 4/100  loss 5.3394  acc 0.1026  val loss 5.3361  val acc 0.0982
epoch 5/100  loss 5.3217  acc 0.1221  val loss 5.3208  val acc 0.1204
epoch 6/100  loss 5.3070  acc 0.1371  val loss 5.3149  val acc 0.1234
epoch 7/100  loss 5.2902  acc 0.1554  val loss 5.3087  val acc 0.1301
epoch 8/100  loss 5.2761  acc 0.1715  val loss 5.2996  val acc 0.1392
epoch 9/100  loss 5.2642  acc 0.1835  val loss 5.2930  val acc 0.1485
epoch 10/100  loss 5.2536  acc 0.1947  val loss 5.2847  val acc 0.1562
epoch 11/100  loss 5.2412  acc 0.2073  val loss 5.2834  val acc 0.1541
epoch 12/100  loss 5.2298  acc 0.2183  val loss 5.2790  val acc 0.1609
epoch 13/100  loss 5.2216  acc 0.2248  val loss 5.2790  val acc 0.1569
epoch 14/100  loss 5.2126  acc 0.2343  val loss 5.2774  val acc 0.1575
epoch 15/100  loss 5.2045  acc 0.2414  val loss 5.2706  val acc 0.1636
epoch 16/100  loss 5.1955  acc 0.2509  val loss 5.2721  val acc 0.1634
epoch 17/100  loss 5.1889  acc 0.2574  val loss 5.2662  val acc 0.1707
epoch 18/100  loss 5.1823  acc 0.2639  val loss 5.2664  val acc 0.1720
epoch 19/100  loss 5.1763  acc 0.2698  val loss 5.2683  val acc 0.1659
epoch 20/100  loss 5.1691  acc 0.2777  val loss 5.2692  val acc 0.1646
epoch 21/100  loss 5.1614  acc 0.2861  val loss 5.2615  val acc 0.1768
epoch 22/100  loss 5.1543  acc 0.2925  val loss 5.2647  val acc 0.1713
epoch 23/100  loss 5.1497  acc 0.2961  val loss 5.2556  val acc 0.1790
epoch 24/100  loss 5.1452  acc 0.3014  val loss 5.2599  val acc 0.1716
epoch 25/100  loss 5.1394  acc 0.3064  val loss 5.2585  val acc 0.1784
epoch 26/100  loss 5.1348  acc 0.3117  val loss 5.2579  val acc 0.1781
epoch 27/100  loss 5.1291  acc 0.3166  val loss 5.2550  val acc 0.1790
epoch 28/100  loss 5.1229  acc 0.3231  val loss 5.2603  val acc 0.1722
epoch 29/100  loss 5.1170  acc 0.3283  val loss 5.2558  val acc 0.1777
epoch 30/100  loss 5.1162  acc 0.3280  val loss 5.2552  val acc 0.1750
epoch 31/100  loss 5.1104  acc 0.3339  val loss 5.2554  val acc 0.1784
epoch 32/100  loss 5.1062  acc 0.3387  val loss 5.2496  val acc 0.1822
epoch 33/100  loss 5.1043  acc 0.3410  val loss 5.2574  val acc 0.1754
epoch 34/100  loss 5.0996  acc 0.3447  val loss 5.2591  val acc 0.1713
epoch 35/100  loss 5.0955  acc 0.3486  val loss 5.2551  val acc 0.1775
epoch 36/100  loss 5.0935  acc 0.3503  val loss 5.2555  val acc 0.1772
