cache hit: cache/train_4x160.u8
cache hit: cache/val_4x160.u8
X3D-XS | 2 blocks frozen | 4 frames at 160px | 28132 train / 4418 val clips on cuda
epoch 1/100  loss 5.3701  acc 0.0631  val loss 5.2875  val acc 0.1487
epoch 2/100  loss 5.2363  acc 0.2042  val loss 5.1964  val acc 0.2424
epoch 3/100  loss 5.1389  acc 0.3055  val loss 5.1204  val acc 0.3225
epoch 4/100  loss 5.0591  acc 0.3839  val loss 5.0674  val acc 0.3726
epoch 5/100  loss 4.9955  acc 0.4468  val loss 5.0284  val acc 0.4106
epoch 6/100  loss 4.9484  acc 0.4925  val loss 4.9999  val acc 0.4402
epoch 7/100  loss 4.9142  acc 0.5269  val loss 4.9804  val acc 0.4593
epoch 8/100  loss 4.8796  acc 0.5605  val loss 4.9623  val acc 0.4769
epoch 9/100  loss 4.8534  acc 0.5862  val loss 4.9365  val acc 0.4975
epoch 10/100  loss 4.8281  acc 0.6107  val loss 4.9240  val acc 0.5124
epoch 11/100  loss 4.7976  acc 0.6412  val loss 4.9319  val acc 0.5048
epoch 12/100  loss 4.7762  acc 0.6628  val loss 4.9143  val acc 0.5235
epoch 13/100  loss 4.7544  acc 0.6837  val loss 4.9120  val acc 0.5222
epoch 14/100  loss 4.7448  acc 0.6931  val loss 4.9023  val acc 0.5335
epoch 15/100  loss 4.7293  acc 0.7083  val loss 4.8921  val acc 0.5416
epoch 16/100  loss 4.7140  acc 0.7223  val loss 4.8839  val acc 0.5534
epoch 17/100  loss 4.7052  acc 0.7303  val loss 4.8960  val acc 0.5373
epoch 18/100  loss 4.6906  acc 0.7452  val loss 4.8822  val acc 0.5534
epoch 19/100  loss 4.6813  acc 0.7547  val loss 4.8847  val acc 0.5521
epoch 20/100  loss 4.6686  acc 0.7660  val loss 4.8676  val acc 0.5677
epoch 21/100  loss 4.6559  acc 0.7783  val loss 4.8767  val acc 0.5611
epoch 22/100  loss 4.6492  acc 0.7854  val loss 4.8643  val acc 0.5704
epoch 23/100  loss 4.6421  acc 0.7920  val loss 4.8750  val acc 0.5577
epoch 24/100  loss 4.6370  acc 0.7971  val loss 4.8800  val acc 0.5539
epoch 25/100  loss 4.6337  acc 0.8002  val loss 4.8842  val acc 0.5523
epoch 26/100  loss 4.6277  acc 0.8060  val loss 4.8647  val acc 0.5677
epoch 27/100  loss 4.6221  acc 0.8110  val loss 4.8680  val acc 0.5645
epoch 28/100  loss 4.6097  acc 0.8236  val loss 4.8659  val acc 0.5688
epoch 29/100  loss 4.6039  acc 0.8286  val loss 4.8677  val acc 0.5647
epoch 30/100  loss 4.5978  acc 0.8355  val loss 4.8530  val acc 0.5810
epoch 31/100  loss 4.5953  acc 0.8379  val loss 4.8752  val acc 0.5598
epoch 32/100  loss 4.5911  acc 0.8417  val loss 4.8587  val acc 0.5754
epoch 33/100  loss 4.5856  acc 0.8473  val loss 4.8470  val acc 0.5880
epoch 34/100  loss 4.5845  acc 0.8476  val loss 4.8494  val acc 0.5824
epoch 35/100  loss 4.5782  acc 0.8544  val loss 4.8611  val acc 0.5724
epoch 36/100  loss 4.5766  acc 0.8555  val loss 4.8733  val acc 0.5595
epoch 37/100  loss 4.5712  acc 0.8609  val loss 4.8650  val acc 0.5650
epoch 38/100  loss 4.5698  acc 0.8625  val loss 4.8425  val acc 0.5899
epoch 39/100  loss 4.5640  acc 0.8678  val loss 4.8498  val acc 0.5858
epoch 40/100  loss 4.5612  acc 0.8705  val loss 4.8267  val acc 0.6064
epoch 41/100  loss 4.5570  acc 0.8747  val loss 4.8432  val acc 0.5905
epoch 42/100  loss 4.5494  acc 0.8824  val loss 4.8398  val acc 0.5923
epoch 43/100  loss 4.5494  acc 0.8823  val loss 4.8407  val acc 0.5921
epoch 44/100  loss 4.5461  acc 0.8855  val loss 4.8293  val acc 0.6073
epoch 45/100  loss 4.5416  acc 0.8899  val loss 4.8527  val acc 0.5801
epoch 46/100  loss 4.5395  acc 0.8915  val loss 4.8439  val acc 0.5878
epoch 47/100  loss 4.5389  acc 0.8924  val loss 4.8416  val acc 0.5923
epoch 48/100  loss 4.5360  acc 0.8951  val loss 4.8531  val acc 0.5799
epoch 49/100  loss 4.5301  acc 0.9012  val loss 4.8548  val acc 0.5767
epoch 50/100  loss 4.5292  acc 0.9014  val loss 4.8391  val acc 0.5896
epoch 51/100  loss 4.5279  acc 0.9035  val loss 4.8291  val acc 0.6003
epoch 52/100  loss 4.5239  acc 0.9071  val loss 4.8366  val acc 0.5957
